state,i_urban,age,i_asian,i_black,i_hispanic,i_indigenous,i_white,i_female,i_male,i_grad_college,i_married,personal_income,i_foodstamps,i_health_insurance,i_internet,time_depart,time_arrive,time_commuting
NA,0,24,0,0,1,0,0,0,1,0,1,8.7,0,1,1,412,419,5
NA,0,24,0,0,0,1,0,1,0,0,0,1.61,0,1,1,497,509,10
NA,0,44,0,0,0,0,1,0,1,0,1,2.4,0,1,1,392,419,25
NA,0,26,0,0,0,1,0,0,1,0,0,1.23,0,1,1,542,544,3
NA,0,67,0,0,0,0,1,0,1,1,1,4.313,0,1,1,557,584,25
NA,0,48,0,0,0,1,0,1,0,0,1,5.2,1,1,1,462,464,3
NA,0,31,0,0,0,1,0,1,0,0,1,0.31,1,1,1,542,549,5
NA,0,29,0,0,0,1,0,0,1,0,0,4,1,0,1,572,579,5
NA,0,32,0,0,0,1,0,0,1,0,0,2.11,0,1,1,835,839,5
NA,1,49,0,0,0,0,1,0,1,0,1,6.2,0,1,1,467,479,10
NA,1,50,0,0,0,0,1,1,0,0,1,15,0,1,1,502,529,26
NA,1,71,0,0,0,0,1,0,1,1,1,9.64,0,1,1,482,499,15
NA,1,26,0,0,1,0,1,0,1,0,1,3.9,0,1,1,275,364,90
NA,1,28,0,0,0,1,0,0,1,0,0,0.63,0,0,1,542,634,90
AZ,0,43,0,0,0,0,1,1,0,0,0,5.66,0,1,1,452,469,15
AZ,0,38,0,0,0,0,1,0,1,0,1,10,0,1,1,392,424,30
AZ,0,28,0,0,0,1,0,0,1,0,0,7,0,1,1,185,244,60
AZ,0,24,0,0,0,1,0,0,1,0,1,0.15,0,1,1,332,354,20
AZ,0,26,0,0,0,1,0,1,0,0,0,2.44,0,1,0,392,454,60
AZ,0,68,0,0,0,0,1,0,1,0,1,5.48,0,1,1,1265,1284,20
AZ,0,22,0,0,1,0,1,1,0,0,0,3.1,0,1,1,497,514,15
AZ,0,53,0,0,1,0,1,0,1,0,1,3.7,0,0,1,362,384,20
AZ,0,42,0,0,1,0,0,0,1,0,1,5.5,0,1,1,312,334,24
AZ,1,68,0,0,0,1,0,0,1,1,1,8.405,0,1,1,477,484,5
AZ,1,27,0,0,0,1,0,1,0,0,0,0.14,0,1,0,275,319,45
AZ,1,25,0,0,0,0,1,0,1,0,1,1,0,1,1,332,454,145
AZ,1,16,0,0,1,0,1,1,0,0,0,0.4,0,1,1,965,969,5
AZ,1,62,0,0,0,0,1,0,1,0,0,5,0,1,1,302,339,35
AZ,1,58,0,0,0,0,1,1,0,0,0,4.5,0,1,1,452,474,20
AZ,1,47,0,0,0,0,1,0,1,1,1,11.9,0,1,1,332,339,7
AZ,1,26,0,0,1,0,1,0,1,0,0,5.5,0,1,1,482,524,40
AZ,1,60,0,0,0,0,1,1,0,0,1,4,0,1,1,422,469,45
AZ,1,51,0,1,0,0,0,0,1,1,1,14,0,1,1,392,439,45
AZ,1,34,0,0,0,0,1,0,1,0,0,6.3,0,1,1,452,479,25
AZ,1,53,0,0,0,1,0,1,0,1,1,1.7,1,1,1,185,199,15
AZ,1,29,0,0,0,0,1,0,1,1,1,7,0,1,1,437,484,45
AZ,1,38,0,0,1,0,0,1,0,0,1,1.92,0,1,1,362,484,145
AZ,1,29,0,0,0,0,1,0,1,1,1,8,0,1,1,332,344,12
AZ,1,27,0,0,1,0,1,0,1,0,0,0.24,1,0,0,452,464,10
AZ,1,36,0,0,0,0,1,0,1,0,1,41.2,0,1,1,725,749,25
AZ,1,33,0,0,0,0,1,0,1,0,1,7.3,0,1,1,985,1024,35
AZ,1,51,0,0,1,0,0,0,1,0,1,3,0,1,1,332,454,145
AZ,1,18,0,0,0,0,1,0,1,0,0,0.64,0,1,1,332,364,30
AZ,1,36,0,0,0,0,1,1,0,0,0,2.5,0,1,1,905,964,60
AZ,1,57,0,0,0,0,1,1,0,0,1,7,0,1,1,452,479,25
AZ,1,55,0,0,0,0,1,1,0,0,1,19.4,0,1,1,482,529,45
AZ,1,29,0,0,1,0,0,0,1,0,1,4.88,0,1,1,482,514,30
AZ,1,48,0,0,1,0,1,0,1,1,0,3.2,0,1,1,422,484,60
AZ,1,24,0,0,1,0,0,0,1,0,0,0.5,0,0,1,995,1014,20
AZ,1,47,0,0,0,0,1,0,1,1,1,15,0,1,1,332,379,45
AZ,1,33,0,0,0,0,1,0,1,1,0,5.6,0,1,1,422,454,30
AZ,1,60,1,0,0,0,0,0,1,0,1,4.65,0,1,1,407,419,10
AZ,1,20,0,0,1,0,1,1,0,0,0,0.46,0,0,1,472,479,7
AZ,1,30,0,0,0,0,1,1,0,0,0,4.8,0,1,1,512,524,10
AZ,1,42,0,0,1,0,1,1,0,0,1,3.5,1,1,1,362,404,40
