state,i_urban,age,i_asian,i_black,i_hispanic,i_indigenous,i_white,i_female,i_male,education,i_grad_college,i_married,personal_income,i_foodstamps,i_health_insurance,i_internet,time_depart,time_arrive,time_commuting
FL,0,29,0,1,0,0,0,0,1,13,0,0,4.5,0,0,1,362,394,30
FL,0,33,0,0,1,0,1,0,1,12,0,1,3.53,0,1,1,472,499,25
FL,0,17,0,0,1,0,1,1,0,12,0,0,0.6,0,1,1,1005,1024,15
FL,0,34,0,0,0,0,1,1,0,12,0,1,2.6,1,1,1,605,629,25
FL,0,30,0,0,1,0,1,0,1,17,1,1,8,0,1,1,422,484,60
FL,0,18,0,0,0,0,1,1,0,13,0,0,0.6,0,1,1,437,474,35
FL,0,43,0,0,1,0,1,1,0,12,0,1,1.2,0,1,1,542,569,25
FL,0,56,0,0,1,0,1,1,0,16,1,0,1.2,0,0,0,482,509,25
FL,0,47,0,0,1,0,1,1,0,9,0,1,1,1,1,1,452,514,60
FL,0,38,1,0,0,0,0,0,1,14,0,0,5.3,0,1,1,302,364,60
FL,0,42,0,0,1,0,1,1,0,16,1,1,2.6,0,0,1,482,489,5
FL,0,53,0,0,0,0,1,1,0,16,1,1,2.8,0,1,0,512,514,2
FL,0,34,0,0,0,0,1,0,1,12,0,1,5.5,0,1,1,422,454,30
FL,0,57,0,0,1,0,1,1,0,12,0,0,1.35,0,0,1,482,504,20
FL,0,41,0,0,0,0,1,1,0,16,1,1,11.5,0,1,1,482,534,50
FL,0,47,0,0,0,0,1,0,1,16,1,1,3.8,0,1,1,482,509,25
FL,0,42,0,0,0,0,1,0,1,16,1,1,9,0,1,1,392,439,45
FL,0,53,0,0,1,0,1,0,1,16,1,1,7.5,0,1,1,452,469,15
FL,0,46,0,0,0,0,1,0,1,14,0,1,8.5,0,1,1,422,484,60
FL,0,54,0,0,1,0,1,1,0,14,0,1,4.94,0,1,1,497,519,20
FL,0,53,0,0,1,0,1,0,1,12,0,1,2.22,0,1,1,275,334,60
FL,0,53,0,0,1,0,1,1,0,13,0,1,2.5,0,1,1,605,649,45
FL,0,30,0,0,1,0,1,1,0,13,0,0,3,0,1,1,542,574,30
FL,0,76,0,0,1,0,1,1,0,14,0,1,6.37,0,1,1,542,574,30
FL,0,29,0,0,1,0,1,0,1,12,0,0,2.5,0,1,1,482,544,60
FL,0,28,0,0,1,0,0,0,1,12,0,0,3.8,1,0,1,482,514,30
FL,0,57,0,0,0,0,0,0,1,17,1,1,2.3,0,1,1,785,804,20
FL,0,61,0,0,1,0,1,1,0,14,0,0,1.9,0,1,0,482,514,30
FL,0,16,0,0,0,0,1,0,1,11,0,0,0.2,0,1,1,482,499,15
FL,0,55,0,0,0,0,1,0,1,16,1,0,35.4,0,1,1,542,554,10
FL,0,50,0,0,0,0,1,0,1,12,0,1,7.13,0,1,1,452,459,5
FL,0,24,0,0,1,0,1,0,1,13,0,0,0.96,1,0,1,725,729,8
FL,0,24,0,0,0,0,1,1,0,12,0,0,1.3,0,1,1,452,459,7
FL,0,53,0,0,0,0,1,0,1,12,0,1,15,0,1,1,392,419,25
FL,1,61,0,0,1,0,1,0,1,16,1,1,2.74,0,1,1,407,419,12
FL,1,43,1,0,0,0,0,1,0,17,1,1,6.9,0,1,1,422,439,15
FL,1,28,0,0,1,0,1,0,1,12,0,0,0.18,0,1,1,572,599,25
FL,1,44,1,0,0,0,0,0,1,16,1,1,5,0,1,1,512,524,10
FL,1,57,0,0,0,0,1,1,0,13,0,1,9.3,0,1,1,452,499,45
FL,1,65,0,0,0,0,1,0,1,12,0,0,4,1,1,1,542,559,15
FL,1,67,0,0,0,0,1,1,0,12,0,1,2.16,0,1,1,635,639,5
FL,1,26,0,0,0,0,1,1,0,16,1,0,3.5,0,1,1,482,504,20
FL,1,59,0,0,0,0,1,1,0,13,0,0,1.2,0,1,1,482,494,10
FL,1,48,0,0,0,0,1,0,1,17,1,1,25,0,1,1,472,484,10
FL,1,23,0,0,0,0,1,0,1,13,0,0,1.54,0,1,1,482,514,30
FL,1,63,0,0,1,1,0,1,0,12,0,0,3.2,1,1,1,392,409,15
FL,1,33,0,0,0,0,0,0,1,16,1,0,13.5,0,1,1,605,609,5
FL,1,38,0,0,1,0,1,1,0,13,0,1,0.4,0,1,1,995,1009,15
FL,1,40,0,0,0,0,0,0,1,12,0,0,2,0,1,1,542,559,15
FL,1,41,0,0,0,0,1,0,1,12,0,1,3,0,0,1,295,354,60
FL,1,27,0,1,1,0,0,0,1,12,0,0,6,0,1,1,1115,1144,30
FL,1,43,0,0,1,0,1,1,0,16,1,0,15.3,0,1,1,467,504,35
FL,1,53,0,0,0,0,1,0,1,12,0,0,2.6,0,1,1,572,609,35
FL,1,28,0,0,1,0,1,1,0,14,0,0,0.6,0,1,1,557,579,20
FL,1,28,0,0,1,0,0,1,0,14,0,0,0.96,0,1,1,302,334,30
FL,1,31,0,0,0,0,1,1,0,14,0,0,4.5,0,1,1,362,394,30
FL,1,24,0,1,0,0,0,1,0,16,1,0,0.6,0,1,1,392,454,60
FL,1,27,0,0,0,0,1,0,1,17,1,0,2,0,1,1,452,499,45
FL,1,56,0,0,1,0,1,0,1,17,1,1,20,0,1,1,452,474,20
FL,1,29,0,0,0,0,1,0,1,12,0,0,2.7,0,0,1,1215,1224,20
FL,1,58,0,1,0,0,0,1,0,12,0,0,2.31,1,1,1,482,529,45
FL,1,22,0,0,0,0,1,1,0,8,0,1,0.3,0,0,1,422,454,30
FL,1,41,0,0,0,0,1,1,0,17,1,0,6.44,0,1,1,392,424,30
FL,1,38,0,0,0,0,1,0,1,16,1,0,4.5,0,1,1,422,444,20
FL,1,37,0,0,1,0,1,0,1,8,0,1,1,0,0,1,512,559,45
FL,1,31,0,1,0,0,0,1,0,13,0,0,2.09,0,1,1,75,84,20
FL,1,28,0,0,0,0,1,1,0,16,1,0,3.8,0,1,1,392,434,40
FL,1,21,0,1,0,0,0,1,0,12,0,0,4,0,1,1,885,904,15
FL,1,64,0,0,1,0,1,0,1,13,0,1,7.3,0,1,1,755,794,40
FL,1,27,0,0,1,0,1,0,1,16,1,0,9,0,1,1,502,524,20
FL,1,35,0,0,1,0,1,1,0,17,1,0,6.55,0,1,1,497,544,45
FL,1,51,0,0,0,0,1,1,0,16,1,1,5.7,0,1,1,482,524,40
FL,1,20,0,0,1,0,1,0,1,12,0,0,0.36,0,1,1,905,934,30
FL,1,81,0,0,0,0,1,0,1,17,1,1,14.85,0,1,1,512,519,5
FL,1,55,0,0,1,0,1,0,1,8,0,1,4,0,1,1,512,534,20
FL,1,34,0,0,0,0,1,1,0,16,1,0,4.9,0,1,1,467,514,45
FL,1,46,0,0,1,0,1,0,1,16,1,1,1.7,1,0,1,422,444,20
FL,1,31,0,0,1,0,0,0,1,12,0,0,2,1,1,1,422,444,20
FL,1,31,0,0,0,0,1,0,1,12,0,1,1.23,0,0,1,452,454,2
FL,1,20,0,0,0,0,1,0,1,9,0,0,0.4,0,1,1,332,359,25
FL,1,27,0,1,0,0,0,1,0,12,0,0,2.4,1,1,1,332,349,15
FL,1,57,0,0,0,0,1,0,1,16,1,1,14.1,0,1,1,422,459,35
FL,1,56,0,0,0,0,1,1,0,12,0,1,7.1,1,1,1,542,574,30
FL,1,30,0,0,0,0,1,1,0,16,1,0,6.001,0,1,1,482,494,10
FL,1,72,0,1,0,0,0,1,0,8,0,0,1.65,0,1,0,725,734,10
FL,1,67,0,1,0,0,0,0,1,16,1,1,8.21,0,1,1,467,489,20
FL,1,49,0,0,0,0,1,1,0,12,0,0,2.1,0,1,1,527,534,8
FL,1,32,0,0,0,0,1,1,0,14,0,0,4,0,1,1,442,489,45
FL,1,19,0,0,0,0,1,0,1,12,0,0,2.5,0,0,1,362,409,45
FL,1,21,0,0,0,0,1,1,0,12,0,0,3.5,0,1,1,905,929,25
FL,1,18,0,0,0,0,1,0,1,11,0,1,0.39,0,1,1,905,914,10
FL,1,30,0,1,0,0,0,0,1,14,0,1,1,0,1,1,845,869,25
FL,1,37,0,1,0,0,0,1,0,12,0,0,2.718,0,1,1,382,399,15
FL,1,60,0,1,0,0,0,1,0,12,0,1,3.8,0,1,0,452,469,15
FL,1,47,0,0,0,0,1,0,1,16,1,1,17.2,0,1,1,452,484,30
FL,1,58,0,0,0,0,1,1,0,16,1,0,7.005,0,1,1,407,429,20
FL,1,64,0,0,0,0,1,0,1,16,1,1,47.6,0,1,1,785,829,45
FL,1,61,0,0,0,0,1,0,1,11,0,0,3.2,1,0,1,392,484,90
FL,1,30,0,1,0,0,0,0,1,12,0,0,2.29,0,0,1,392,404,10
FL,1,26,0,0,0,0,1,0,1,12,0,0,2,0,1,1,965,984,20
FL,1,33,0,0,0,0,1,1,0,12,0,0,0.6,0,0,1,1245,1324,90
FL,1,29,0,0,0,0,1,0,1,12,0,0,2.39,0,1,1,422,484,60
FL,1,34,0,0,0,0,1,1,0,14,0,1,5.4,0,1,1,392,409,15
FL,1,34,0,0,0,0,1,0,1,9,0,1,35.4,0,0,1,482,544,60
FL,1,36,0,0,0,0,1,0,1,12,0,1,47.6,0,1,1,482,544,60
FL,1,54,0,0,0,0,1,0,1,16,1,0,11.5,0,1,1,452,484,30
FL,1,36,0,0,0,0,1,0,1,12,0,1,5.5,0,1,1,392,424,30
FL,1,57,0,0,0,0,1,0,1,11,0,0,2.2,0,0,1,322,369,45
FL,1,57,0,0,0,0,1,0,1,12,0,1,9.8,0,1,1,377,439,60
FL,1,56,0,0,0,0,1,1,0,12,0,1,5.5,0,1,0,482,514,30
FL,1,24,0,0,1,0,1,0,1,12,0,0,1.2,0,1,1,302,349,45
FL,1,29,0,1,0,0,0,0,1,16,1,0,3.5,0,0,1,362,424,60
FL,1,60,0,0,0,0,1,0,1,17,1,1,15.502,0,1,1,377,424,45
FL,1,27,0,1,0,0,0,0,1,12,0,0,0.6,1,1,1,1265,1279,15
FL,1,32,0,0,1,0,1,1,0,16,1,0,7.3,0,1,1,392,414,20
FL,1,35,0,0,1,0,1,0,1,16,1,0,8.2,0,1,1,362,379,15
FL,1,48,0,0,0,0,1,0,1,16,1,1,13.7,0,1,1,605,624,20
FL,1,49,0,0,1,0,1,1,0,13,0,1,3,0,1,1,542,564,20
FL,1,22,0,0,1,0,0,1,0,13,0,0,1.7,0,1,1,587,594,5
FL,1,65,0,0,0,0,1,1,0,14,0,1,3.3,0,1,1,605,614,10
FL,1,27,0,0,0,0,1,1,0,13,0,0,1.75,0,1,1,572,594,20
FL,1,44,0,0,1,0,1,1,0,12,0,0,3.5,0,0,1,542,544,2
FL,1,51,0,0,0,0,1,1,0,13,0,0,3.5,0,0,1,452,469,15
FL,1,43,0,0,0,0,1,0,1,16,1,0,2.6,0,1,1,347,379,30
FL,1,44,0,1,0,0,0,0,1,12,0,1,5.5,0,1,1,422,489,65
FL,1,59,0,0,0,0,1,1,0,16,1,0,6.7,0,1,1,392,424,30
FL,1,32,0,0,0,0,1,1,0,16,1,1,4.5,0,1,1,422,434,10
FL,1,63,0,0,0,0,1,0,1,13,0,0,2.4,0,0,1,965,969,5
FL,1,78,0,0,0,0,1,1,0,17,1,1,3.53,0,1,1,572,584,10
FL,1,53,0,0,0,0,1,0,1,16,1,0,2,0,0,1,412,419,5
FL,1,55,0,0,1,0,1,0,1,16,1,1,1.2,0,1,1,865,894,25
FL,1,55,0,0,0,0,1,1,0,14,0,1,3.41,0,1,1,452,464,10
FL,1,50,0,1,0,0,0,1,0,13,0,0,2.7,0,1,1,467,484,15
FL,1,49,0,0,0,0,1,1,0,16,1,0,1.4,0,1,1,482,514,30
FL,1,41,0,0,0,0,1,1,0,12,0,0,5.5,0,1,1,437,459,20
FL,1,33,0,0,1,0,1,0,1,14,0,1,2.8,0,1,1,1025,1054,30
FL,1,23,0,0,0,0,1,0,1,14,0,0,2.5,0,1,1,665,669,5
FL,1,49,0,0,1,0,1,1,0,14,0,1,6.5,0,0,1,482,529,45
FL,1,28,0,0,0,0,1,0,1,12,0,0,2.6,0,0,1,382,394,10
FL,1,27,0,0,1,0,1,0,1,8,0,0,2.6,1,0,1,362,424,60
FL,1,69,0,0,0,0,1,1,0,12,0,0,3.5,0,1,1,512,559,45
FL,1,53,0,0,0,0,1,0,1,16,1,1,4.5,0,1,1,462,474,10
FL,1,34,0,0,0,0,1,1,0,13,0,0,3.95,0,0,1,482,489,5
FL,1,23,0,0,0,0,1,1,0,12,0,0,3.2,0,1,1,467,499,30
FL,1,62,0,0,0,0,1,1,0,16,1,1,1.44,0,1,1,452,459,5
FL,1,56,0,0,0,0,1,1,0,12,0,1,0.64,0,1,1,965,979,15
FL,1,72,0,0,0,0,1,0,1,12,0,1,1.88,0,1,1,362,389,25
FL,1,43,0,0,0,0,1,1,0,12,0,1,5,0,1,1,512,519,6
FL,1,22,0,0,0,0,1,1,0,13,0,0,1.27,0,1,1,482,544,60
FL,1,62,0,1,0,0,0,0,1,12,0,0,3.28,0,1,0,392,419,25
FL,1,54,0,0,0,0,1,0,1,17,1,1,11.77,0,1,1,422,474,50
FL,1,25,0,0,0,0,1,0,1,12,0,0,1.14,0,0,1,362,374,13
FL,1,38,0,0,0,0,1,1,0,12,0,0,2.69,0,1,1,755,769,15
FL,1,19,0,0,0,0,1,0,1,13,0,0,2,0,1,1,965,979,15
FL,1,21,0,0,0,0,1,1,0,14,0,0,2,0,1,1,452,479,25
FL,1,29,0,0,0,0,1,0,1,17,1,1,8.5,0,1,1,362,384,20
FL,1,20,0,0,0,0,1,1,0,14,0,0,1.2,0,1,1,527,539,10
FL,1,30,0,0,1,0,0,1,0,16,1,1,0.65,0,0,1,377,404,25
FL,1,50,0,0,1,0,0,0,1,12,0,1,4,1,0,1,422,454,30
FL,1,35,0,0,1,0,0,0,1,14,0,0,4,0,1,1,442,474,30
FL,1,29,1,0,0,0,0,1,0,12,0,0,5.5,0,1,1,482,524,40
FL,1,36,0,0,1,0,0,0,1,12,0,0,2.4,0,1,1,665,684,20
FL,1,51,0,0,1,0,1,1,0,12,0,0,2.4,0,0,1,482,499,15
FL,1,40,0,0,0,0,1,0,1,17,1,1,6.22,0,1,1,482,544,60
FL,1,44,0,0,0,0,0,1,0,13,0,0,4,0,1,1,512,584,70
FL,1,46,0,1,0,0,0,0,1,13,0,0,5.69,0,1,1,392,414,20
FL,1,51,0,0,0,0,1,1,0,16,1,1,4.8,0,1,1,452,474,20
FL,1,36,0,0,0,0,1,0,1,14,0,0,1.27,0,0,1,75,79,10
FL,1,31,0,0,0,0,1,0,1,12,0,1,2.8,0,1,1,452,459,5
FL,1,45,1,0,0,0,0,0,1,17,1,0,2.5,0,1,1,482,484,2
FL,1,46,0,0,0,0,1,0,1,13,0,1,12.15,0,1,1,437,474,35
FL,1,28,0,0,1,0,1,0,1,16,1,0,0.81,0,1,1,422,439,17
FL,1,27,0,0,0,0,1,1,0,16,1,0,4.5,0,1,1,482,544,60
FL,1,66,1,0,0,0,0,0,1,16,1,1,2.2,0,1,1,605,634,30
FL,1,58,0,0,0,0,0,1,0,12,0,0,2,0,0,1,15,39,30
FL,1,45,0,0,0,0,1,0,1,9,0,0,1.6,0,0,0,482,489,5
FL,1,63,0,0,0,0,1,1,0,12,0,1,0.69,0,1,1,695,704,10
FL,1,42,0,0,0,0,1,1,0,12,0,0,3.69,0,1,1,285,294,5
FL,1,56,0,1,0,0,0,1,0,14,0,0,1.3,0,1,1,482,574,90
FL,1,45,0,0,1,0,1,0,1,13,0,0,2.5,0,1,1,422,429,5
FL,1,19,0,0,1,0,1,1,0,12,0,0,0.13,0,1,1,995,1004,10
FL,1,50,0,0,0,0,1,0,1,16,1,1,6.5,0,1,1,542,574,30
FL,1,54,0,0,0,0,1,0,1,13,0,0,1.25,0,1,1,542,574,30
FL,1,86,0,0,0,0,1,1,0,17,1,0,2.2,0,1,1,392,419,25
FL,1,32,1,0,0,0,0,0,1,17,1,0,8.5,0,1,1,512,524,10
FL,1,20,1,0,0,0,0,1,0,13,0,0,0.1,0,1,1,422,434,10
FL,1,38,0,0,1,0,1,1,0,16,1,1,4.2,0,1,1,935,949,15
FL,1,62,0,0,0,0,1,0,1,12,0,1,8,0,0,1,332,349,15
FL,1,53,0,0,1,0,1,1,0,12,0,1,0.92,0,1,1,392,424,30
FL,1,48,0,0,1,0,1,0,1,11,0,1,4.27,0,0,1,725,744,20
FL,1,52,0,0,0,0,1,1,0,16,1,0,6,0,1,1,512,544,30
FL,1,51,0,0,0,0,1,1,0,16,1,1,13.5,0,1,1,542,554,14
FL,1,44,0,0,0,0,1,0,1,16,1,1,2.5,0,0,1,635,664,30
FL,1,32,0,0,1,0,1,0,1,8,0,1,5.8,0,1,0,15,44,40
FL,1,46,0,0,1,0,1,0,1,13,0,1,6,0,1,1,302,334,30
FL,1,66,0,0,0,0,1,1,0,16,1,1,4.07,0,1,1,462,484,22
FL,1,46,0,0,0,0,1,0,1,17,1,1,10.6,0,1,1,382,409,25
FL,1,22,0,0,0,0,1,0,1,12,0,0,1.89,1,1,1,482,514,30
FL,1,27,0,0,0,0,1,0,1,16,1,0,2,0,0,0,482,514,30
FL,1,37,1,0,0,0,0,0,1,17,1,1,12,0,1,1,512,524,10
FL,1,45,0,0,1,0,1,1,0,12,0,0,1.68,1,1,0,572,589,15
FL,1,22,0,1,0,0,0,0,1,10,0,0,2.4,0,1,1,675,694,15
FL,1,45,1,0,0,0,0,1,0,16,1,1,12,0,1,1,482,519,35
FL,1,25,0,0,0,0,1,0,1,16,1,0,1.5,0,1,1,362,409,45
FL,1,61,0,0,0,0,1,1,0,12,0,0,2,0,1,1,362,369,5
FL,1,52,0,0,0,0,1,0,1,14,0,1,9,0,1,1,452,479,25
FL,1,64,0,0,0,0,1,0,1,12,0,1,4.3,0,1,1,437,479,40
FL,1,31,0,0,0,0,1,1,0,13,0,1,6.45,1,1,1,512,664,150
FL,1,61,0,0,0,0,1,0,1,16,1,1,12.4,0,1,1,452,499,45
FL,1,30,0,0,0,0,1,0,1,12,0,0,2.5,0,0,1,542,549,5
FL,1,35,0,0,0,0,1,1,0,16,1,0,1,1,1,1,482,509,25
FL,1,48,0,0,0,0,1,1,0,17,1,0,8,0,1,1,502,554,50
FL,1,36,0,0,1,0,1,0,1,13,0,0,1.91,0,1,0,302,334,30
FL,1,49,0,1,0,0,0,1,0,12,0,0,4.3,0,1,1,362,384,20
FL,1,30,0,0,0,0,1,1,0,17,1,1,9,0,1,1,442,459,15
FL,1,61,0,0,0,0,1,1,0,14,0,1,5.2,0,1,1,512,524,10
FL,1,50,0,0,0,0,1,1,0,12,0,1,4.8,0,0,1,885,934,45
FL,1,30,0,0,0,0,1,0,1,16,1,0,3.3,0,1,1,512,519,5
FL,1,84,0,0,0,0,1,0,1,8,0,0,1.3,0,1,1,605,614,10
FL,1,54,0,1,0,0,0,1,0,10,0,0,2.29,0,1,1,725,754,30
FL,1,39,0,0,1,0,1,1,0,12,0,1,2,0,0,0,185,239,55
FL,1,66,0,0,0,0,1,1,0,16,1,1,5.25,0,1,1,467,474,5
FL,1,32,0,0,1,0,1,0,1,13,0,0,5,1,1,1,362,394,30
FL,1,17,0,0,1,0,1,1,0,11,0,0,0.6,0,1,1,695,704,10
FL,1,42,0,0,1,0,1,1,0,14,0,1,5,0,0,1,422,434,10
FL,1,76,0,0,0,0,1,0,1,16,1,1,9.49,0,1,1,452,494,40
FL,1,25,0,0,0,0,1,0,1,12,0,0,2.5,0,1,1,392,439,45
FL,1,57,0,0,1,0,1,0,1,12,0,1,3,0,0,1,362,384,20
FL,1,28,0,0,0,0,1,1,0,12,0,1,1.81,0,1,1,1045,1059,15
FL,1,22,0,0,1,0,0,0,1,9,0,0,1.83,0,0,1,422,454,30
FL,1,38,0,0,0,0,1,0,1,13,0,0,1.44,0,1,1,422,449,25
FL,1,26,0,0,0,0,1,0,1,12,0,0,1.5,0,0,1,422,444,20
FL,1,59,0,0,0,0,1,0,1,13,0,1,7.4,0,1,1,765,814,45
FL,1,60,0,0,0,0,1,1,0,17,1,0,6,0,1,1,442,469,25
FL,1,43,0,0,0,0,1,0,1,12,0,1,6,0,0,1,422,444,20
FL,1,59,0,0,0,0,1,0,1,12,0,1,7.2,0,0,1,452,479,25
FL,1,75,0,0,0,0,1,1,0,12,0,0,2.5,0,1,1,542,559,15
FL,1,55,0,0,0,0,1,0,1,13,0,0,4.23,0,1,1,467,479,10
FL,1,29,1,0,0,0,0,0,1,17,1,1,11.3,0,1,1,482,514,30
FL,1,58,0,1,0,0,0,1,0,16,1,0,3.4,1,1,1,452,464,12
FL,1,46,0,0,0,0,1,0,1,14,0,0,3.2,0,1,1,407,419,10
FL,1,20,0,0,0,0,1,0,1,12,0,0,2.1,0,1,1,1265,1289,25
GA,0,39,0,0,1,0,1,1,0,9,0,1,0.86,0,0,0,407,419,10
GA,0,38,0,0,0,0,1,1,0,17,1,1,7,0,1,1,482,514,30
GA,0,64,0,0,0,0,1,1,0,16,1,0,2,0,0,1,512,544,30
GA,0,36,0,1,0,0,0,1,0,17,1,0,3.7,0,1,1,502,544,40
GA,0,49,0,0,1,0,0,1,0,12,0,1,2.8,0,0,0,965,1024,60
GA,0,34,0,1,0,0,0,1,0,16,1,0,2.29,1,1,1,845,854,13
GA,0,53,0,0,0,0,1,0,1,16,1,1,2,0,1,1,482,489,5
GA,0,26,0,1,0,0,0,1,0,12,0,0,1.9,0,1,1,482,504,20
GA,0,42,0,0,0,0,1,0,1,16,1,1,13,0,1,1,377,414,35
GA,0,40,0,0,0,0,1,1,0,17,1,1,5.73,0,1,1,452,474,20
GA,0,53,0,0,0,0,1,1,0,17,1,1,5.5,0,1,1,437,449,10
GA,0,17,0,0,0,0,1,0,1,11,0,0,0.94,0,1,1,995,1004,10
GA,0,38,0,0,0,0,1,1,0,16,1,1,4.5,0,1,1,422,429,9
GA,0,55,1,0,0,0,0,0,1,12,0,0,13.7,0,1,1,1245,1294,60
GA,0,35,0,0,1,0,0,0,1,12,0,1,1.8,0,0,1,1155,1344,150
GA,0,54,0,1,0,0,0,0,1,12,0,0,5.7,0,0,1,392,409,15
GA,0,27,0,1,0,0,0,1,0,12,0,0,1.57,1,0,1,342,364,20
GA,0,58,0,0,0,0,1,0,1,12,0,1,8.34,0,1,1,352,389,35
GA,0,61,0,0,0,0,1,0,1,12,0,1,3.43,0,1,1,452,499,45
GA,0,54,0,0,0,0,1,0,1,12,0,1,2,0,1,0,392,414,20
GA,0,26,0,0,0,0,1,0,1,12,0,1,3,0,1,1,1005,1014,10
GA,0,52,0,0,0,0,1,1,0,13,0,0,2,1,0,1,482,514,30
GA,0,28,0,0,0,0,1,1,0,12,0,0,4,0,1,1,1325,1354,30
GA,0,55,0,0,0,0,1,1,0,12,0,1,4.58,0,1,1,477,499,20
GA,0,76,0,0,0,0,0,0,1,17,1,1,15.03,0,1,1,615,639,20
GA,0,44,0,0,0,0,1,1,0,16,1,0,7.5,0,1,1,357,364,5
GA,0,28,0,0,0,0,1,1,0,16,1,0,4.5,0,1,1,477,489,12
GA,0,57,0,0,0,0,1,0,1,12,0,0,3.94,0,1,0,915,919,2
GA,0,34,0,1,0,0,0,1,0,11,0,0,1.15,1,0,1,392,404,10
GA,0,35,0,0,0,0,1,1,0,16,1,1,7.4,0,1,1,422,514,90
GA,0,19,0,0,0,0,1,0,1,13,0,0,1.38,0,1,1,452,474,20
GA,0,28,0,1,0,0,0,1,0,12,0,1,2,0,0,1,302,334,30
GA,0,62,0,0,0,0,1,1,0,17,1,1,10.5,0,1,1,362,384,20
GA,0,26,0,1,0,0,0,1,0,14,0,0,1.8,0,1,1,452,474,20
GA,0,74,0,0,0,0,1,1,0,16,1,0,6.65,0,1,1,407,409,3
GA,0,38,0,0,0,0,1,0,1,12,0,1,7,0,1,1,302,379,75
GA,0,40,0,0,0,0,1,0,1,17,1,1,48.65,0,1,1,392,414,20
GA,0,55,0,0,0,0,1,1,0,12,0,1,3.8,0,1,1,487,514,25
GA,0,20,0,1,0,0,0,1,0,12,0,0,0.25,1,1,1,392,434,40
GA,0,24,0,0,1,0,1,0,1,9,0,0,4,0,0,1,412,419,5
GA,0,92,0,0,0,0,1,1,0,12,0,0,0.3,1,1,1,422,439,15
GA,0,36,0,1,0,0,0,0,1,16,1,0,2.8,1,1,1,322,354,30
GA,0,43,0,0,0,0,1,1,0,13,0,0,0.36,0,0,1,542,549,5
GA,0,57,0,0,0,0,1,1,0,16,1,1,7.5,0,1,1,422,444,20
GA,0,23,0,0,0,0,1,0,1,16,1,0,5.5,0,1,1,452,469,15
GA,0,51,0,0,0,0,1,1,0,12,0,0,4,0,1,1,512,539,25
GA,0,23,0,0,0,0,1,1,0,12,0,1,4.5,0,1,1,422,469,45
GA,0,41,0,1,0,0,0,1,0,13,0,0,4,1,1,1,482,559,75
GA,0,37,0,0,0,0,1,0,1,16,1,1,2.93,0,1,1,915,954,35
GA,0,45,0,0,0,0,0,0,1,13,0,0,12,0,1,1,275,284,10
GA,0,32,0,0,0,0,1,0,1,11,0,0,0.17,0,0,1,285,299,10
GA,0,29,0,1,0,0,0,1,0,13,0,0,1.5,1,1,1,362,394,30
GA,0,39,0,0,0,0,1,1,0,17,1,1,9.5,0,1,1,422,484,60
GA,0,35,0,0,1,0,1,1,0,10,0,1,0.72,0,0,0,347,364,15
GA,0,23,0,1,0,0,0,1,0,12,0,0,0.22,1,1,1,362,394,30
GA,0,41,1,0,0,0,0,0,1,17,1,1,9.1,0,1,1,452,529,75
GA,0,59,0,0,0,0,1,1,0,17,1,0,5.44,0,1,1,542,544,3
GA,0,35,0,0,0,0,1,1,0,13,0,1,4.95,0,1,1,407,419,10
GA,0,45,0,0,0,0,1,1,0,16,1,1,3.5,0,1,0,935,1024,90
GA,0,20,0,0,0,0,1,0,1,12,0,0,1,0,1,1,422,484,60
GA,0,60,0,1,1,0,0,0,1,12,0,1,2.1,0,0,0,392,414,20
GA,0,48,0,0,0,0,0,0,1,12,0,1,4.5,0,1,1,1295,1314,20
GA,0,55,1,0,0,0,0,0,1,17,1,1,10,0,1,1,452,464,10
GA,0,30,0,0,0,0,1,1,0,14,0,0,3,0,1,1,422,434,10
GA,0,48,0,1,0,0,0,1,0,17,1,0,13.8,0,1,1,392,414,20
GA,0,34,0,0,0,0,1,1,0,17,1,0,10,0,1,1,482,529,45
GA,0,33,0,0,0,0,1,0,1,13,0,1,7,0,1,1,392,414,20
GA,0,34,1,0,0,0,0,0,1,17,1,1,8,0,1,1,482,499,15
GA,0,55,0,0,0,0,1,0,1,13,0,1,14.3,0,1,1,422,454,30
GA,0,20,0,0,0,0,1,1,0,13,0,0,0.1,0,1,1,905,919,15
GA,0,29,0,1,0,0,0,1,0,16,1,0,2.9,0,1,0,735,784,45
GA,0,58,0,0,0,0,1,1,0,14,0,1,8.5,0,1,1,452,469,15
GA,0,73,0,1,0,0,0,1,0,12,0,0,2.61,0,1,0,467,474,5
GA,0,63,0,0,0,0,1,1,0,12,0,0,3.55,0,1,1,377,404,25
GA,0,38,0,0,0,0,1,1,0,12,0,1,3.2,0,1,1,592,614,20
GA,0,64,0,0,0,0,1,0,1,12,0,1,4,0,1,0,302,319,15
GA,0,45,0,0,0,0,1,0,1,17,1,1,15.8,0,1,1,482,509,25
GA,0,25,0,0,0,0,1,1,0,12,0,1,1.8,0,0,1,422,444,20
GA,0,48,0,0,0,0,1,1,0,13,0,1,2.56,0,0,1,605,614,10
GA,0,35,0,0,0,0,1,1,0,12,0,1,0.5,1,0,1,392,409,15
GA,0,54,0,0,0,0,1,1,0,12,0,1,1.56,0,1,1,482,499,15
GA,1,47,0,0,0,0,1,0,1,12,0,1,8,0,1,1,482,489,6
GA,1,28,0,1,0,0,0,1,0,12,0,0,3.42,0,0,1,512,524,10
