state,i_urban,age,i_asian,i_black,i_hispanic,i_indigenous,i_white,i_female,i_male,education,i_grad_college,i_married,personal_income,i_foodstamps,i_health_insurance,i_internet,time_depart,time_arrive,time_commuting
AL,1,25,0,0,1,0,1,1,0,13,0,1,6.1,0,1,1,1085,1104,20
AL,1,34,0,0,0,0,1,1,0,16,1,1,3,0,1,1,362,384,20
NA,0,26,0,0,0,0,1,1,0,12,0,0,2.5,0,1,1,452,469,15
NA,0,44,0,0,0,0,1,1,0,16,1,0,4.72,0,1,1,467,474,5
NA,0,17,1,0,0,0,0,1,0,11,0,0,0.5,0,1,1,467,479,10
NA,0,32,0,0,0,0,1,1,0,17,1,1,6,0,1,1,605,644,40
NA,0,29,0,0,0,0,1,1,0,10,0,1,3.21,1,1,0,275,279,5
NA,0,51,0,0,0,0,1,1,0,12,0,0,2.67,1,1,1,542,559,15
NA,0,40,0,0,0,0,1,0,1,12,0,1,4.5,0,1,1,472,474,1
NA,0,35,0,0,0,1,0,1,0,12,0,0,4.07,1,1,1,497,504,5
NA,0,38,0,1,0,0,0,0,1,13,0,1,7.1,0,1,1,542,549,5
NA,0,36,0,0,0,0,1,0,1,13,0,0,3.5,0,1,1,447,464,15
NA,0,20,0,0,0,1,0,0,1,12,0,0,0.823,0,1,1,542,549,8
NA,0,45,0,0,0,0,1,1,0,17,1,1,3.2,0,1,1,1115,1119,5
NA,0,27,1,0,0,0,0,1,0,12,0,1,1.91,0,1,1,417,424,5
NA,0,55,0,0,0,0,0,1,0,11,0,1,3.2,1,1,1,635,644,10
NA,1,21,0,0,0,0,1,0,1,12,0,0,1.1,0,0,1,542,564,20
NA,1,32,0,0,0,0,1,1,0,13,0,1,10.1,0,1,1,317,334,15
AZ,0,34,0,0,1,0,1,0,1,12,0,0,3.9,0,0,1,665,669,5
AZ,0,36,0,0,0,1,0,1,0,12,0,1,0.58,0,1,1,332,424,90
AZ,0,49,0,0,0,0,1,0,1,16,1,0,2.67,0,1,1,407,424,15
AZ,0,49,0,0,1,0,1,1,0,13,0,0,3,0,1,0,482,494,13
AZ,0,45,0,0,0,0,1,0,1,17,1,1,6,0,1,1,362,414,50
AZ,0,48,0,0,0,0,1,1,0,12,0,1,2.06,0,0,1,955,959,2
AZ,0,58,0,0,0,0,1,0,1,17,1,1,11.6,0,1,1,1085,1089,5
AZ,0,58,0,0,0,0,1,0,1,12,0,0,3.7,0,1,1,422,429,5
AZ,0,27,0,0,0,0,1,0,1,14,0,0,4,0,1,1,362,424,60
