geoid,place,pop,housing,kfr_pooled_p25,test,training,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35,P_36,P_37,P_38,P_39,P_40,P_41,P_42,P_43,P_44,P_45,P_46,P_47,P_48,P_49,P_50,P_51,P_52,P_53,P_54,P_55,P_56,P_57,P_58,P_59,P_60,P_61,P_62,P_63,P_64,P_65,P_66,P_67,P_68,P_69,P_70,P_71,P_72,P_73,P_74,P_75,P_76,P_77,P_78,P_79,P_80,P_81,P_82,P_83,P_84,P_85,P_86,P_87,P_88,P_89,P_90,P_91,P_92,P_93,P_94,P_95,P_96,P_97,P_98,P_99,P_100,P_101,P_102,P_103,P_104,P_105,P_106,P_107,P_108,P_109,P_110,P_111,P_112,P_113,P_114,P_115,P_116,P_117,P_118,P_119,P_120,P_121
1003,Baldwin County,187114,104061,0.38884708285331726,0,1,82.84794616699219,98.59345245361328,101.7767105102539,82.477325439453125,62.60905838012695,65.41764068603516,55.937583923339844,56.96771240234375,56.03263854980469,7.599999904632568,7.900000095367432,2215.2705248587,1.99889061570828,16.4908475795933,30.9828045434784,136.924007176017,2028.87397494391,384.786443523844,1582.62164498703,61.4658864330297,403.276181719146,46.4742068152176,356.801974903928,76064.0859375,26.501079559326172,0.2300361543893814,0.26071035861968994,0.03759162500500679,52003.09347378817,26435.690624402476,0.12294220179319382,0.09859775006771088,0.14006257057189941,0.09752283990383148,0.04384824261069298,0.00595351355150342,0.0979161337018013,0.8659056425094604,0.018494056537747383,0.003541085636243224,2.7925095558166504,816.84521484375,0.277866393327713,0.18421435356140137,0.2378830760717392,0.2753262221813202,0.5770263075828552,80.034088134765625,0.030092911794781685,0.1649521291255951,114.64750671386719,88.32320404052734,0.012950056232511997,50.08598709106445,4.1,4.2,16,8.5072966429,75.17643,87.45146,47.97337,9489.87,5.713276,22.068321,17.482002514,356,16.028893,10.9,84.004693,2557,41.620561312,308.19225326,174.32488,18.6,15.1,5.4602606243,72.168545799,26.7,25.2,36.1603046,7.6,61.61000061035156,16.100000381469727,3.0999999046325684,3.7200000286102295,0,0.3100000023841858,0,0,0,0.9300000071525574,1.2400000095367432,13,56.27000045776367,22.959999084472656,2.319999933242798,7.409999847412109,0,0.20000000298023224,0,0,0,0.2800000011920929,1.409999966621399,9.149999618530273,0,0,0,1.0099999904632568,0,0.5,0,19.100000381469727,0,2.009999990463257,0,3.5199999809265137,0,0,0,0
1005,Barbour County,27321,11829,0.3493855893611908,0,1,76.31389617919922,93.87872314453125,90.70294189453125,91.19270324707031,101.84381103515625,102.08524322509766,105.94867706298828,101.57514953613281,89.544769287109375,9.800000190734863,6.699999809265137,2815.48703834567,11.1578086063897,37.1926953546323,52.0697734964853,260.348867482426,2454.71789340574,635.995090564213,1688.54836910031,133.893703276676,494.66284821661,55.7890430319485,442.593074720125,51246.00390625,24.047513961791992,0.10744982957839966,0.1334962099790573,0.028143949806690216,33114.85482754853,19026.749741214502,0.25063076615333557,0.27296948432922363,0.25627195835113525,0.4719015061855316,0.05051535367965698,0.0036882064305245876,0.46370360255241394,0.5090733170509338,0.01642232947051525,0.0023420301731675863,1.6000090837478638,527.290771484375,0.4680705964565277,0.2714696228504181,0.3932633399963379,0.3760491907596588,0.4532710015773773,74.8990707397461,0.189366415143013,0.5324689745903015,31.029207229614258,32.81807327270508,-0.020755907520651817,9.230671882629395,4.9,4.7,25.7,12.148280482,36.93308,7.43854,37.1927,10077.19,5.134228,22.512599,17.439893372,430.8,17.214428809734514,15.3,90.038314176,522,67.9023347,632.32969376,399.42691,21.4,12.4,11.420315716,45.26714499,40.8,32.9,44.53469373268326,5.1,63.27000045776367,9.180000305175781,17.350000381469727,1.0199999809265137,0,1.0199999809265137,0,0,0,0,1.0199999809265137,7.139999866485596,62.369998931884766,12.720000267028809,13.829999923706055,1.9600000381469727,0,1.309999942779541,0,0,0,0,2.2899999618530273,5.519999980926514,0,0,0,1.6100000143051147,0,0,0,45.15999984741211,0,4.840000152587891,0,1.6100000143051147,0,3.2300000190734863,0,0
1007,Bibb County,22754,8981,0.3633907437324524,0,1,73.76561737060547,104.86846923828125,82.129547119140625,68.38201141357422,71.17643737792969,69.6217269897461,60.44905090332031,56.77256774902344,77.70096588134766,7.300000190734863,6.599999904632568,1110.8148938061,8.88651915044877,13.3297787256732,8.88651915044877,71.0921532035902,1008.61992357594,288.811872389585,635.386119257087,84.4219319292633,302.141651115258,57.762374477917,244.379276637341,55094.4921875,32.87531661987305,0.07002571225166321,0.09924052655696869,0.006859188433736563,39846.44651974689,19696.785013617467,0.12684988975524902,0.2139972746372223,0.21320104598999023,0.22282348573207855,0.017717652022838593,7.418721215799451e-4,0.2225886881351471,0.7608481049537659,0.009978266432881355,7.675208034925163e-4,1.5316742658615112,604.277587890625,0.32013630867004395,0.18862758576869965,0.25729429721832275,0.25268301367759705,0.4942406415939331,70.003570556640625,-0.020072633400559425,0.24979270994663239,36.806339263916016,33.45096206665039,-0.004644653294235468,12.875391960144043,4.8,4.6,22,12.415730337,35.5366,131.89622726219727,17.77304,10674.38,4.245379,19.011225,14.954139092,541.7,14.789618,12.5,83.832335329,334,48.393739703,367.30539452,124.83745,21,13.8,2.1446609917,32.838751909,40.1,33.2,54.9640288,7.4,87.30000305175781,7.940000057220459,1.590000033378601,0,0,0,0,0,0,0,1.590000033378601,1.590000033378601,86.160003662109375,7.409999847412109,1.6100000143051147,0,0,0,0,0,0,0,3.75,1.0700000524520874,0,0,0,1.8200000524520874,0,0,0,30.90999984741211,0,7.269999980926514,0,1.8200000524520874,0,0,0,0
1013,Butler County,20624,9964,0.35724857449531555,0,1,92.09667205810547,121.07329559326172,117.82319641113281,143.1173553466797,131.00436401367188,134.06784057617188,137.0227508544922,148.37588500976563,131.28660583496094,8.899999618530273,5.800000190734863,3675.60110366575,19.7083169097359,54.1978715017737,44.3437130469058,443.437130469058,3113.91407173827,753.843121797399,2241.82104848246,118.249901458415,1433.78005518329,251.281040599133,1182.49901458415,53386.29296875,26.86321449279785,0.10281671583652496,0.10806211829185486,0.011251594871282578,34026.98725354466,16564.633026209005,0.25555840134620667,0.24775615334510803,0.31639984250068665,0.4356232285499573,0.009118250571191311,0.008701438084244728,0.4130907654762268,0.574762225151062,0.006658155005425215,0.0020303213968873024,1.5268495082855225,524.5528564453125,0.5109630227088928,0.29487478733062744,0.3873346149921417,0.3529517948627472,0.4840346574783325,69.698699951171875,0.010279955342411995,0.4593975245952606,26.964750289916992,27.54660415649414,-2.4342755204997957e-4,10.563457489013672,5.3,5.1,27.4,11.004273504,39.47693,29.56248,24.6354,10754.38,4.07498,20.068654,15.529184989,538.2,17.214428809734514,16.2,81.069958848,486,56.616643929,773.13241739,241.95928,22.8,10.5,2.8320291145,46.006588056,36,34.4,70.816641,6,70.88999938964844,7.590000152587891,7.590000152587891,1.2699999809265137,0,1.2699999809265137,0,0,0,0,1.2699999809265137,10.130000114440918,71.2300033569336,7.03000020980835,8.920000076293945,1.4600000381469727,0,0,0,0,0,0,2.8399999141693115,8.520000457763672,0,0,0,1.7899999618530273,0,0,0,41.06999969482422,0,5.360000133514404,0,1.7899999618530273,0,0,0,0
1015,Calhoun County,117714,53289,0.3618467450141907,0,1,76.9382095336914,95.4782485961914,98.32662200927734,87.65031433105469,64.08209991455078,60.6884880065918,47.465087890625,56.75160217285156,54.87967300415039,8.300000190734863,6.400000095367432,3981.33130887884,6.03885572310984,56.9377825321785,89.7201421719176,467.579971703648,3361.05455674799,1055.07436419476,2169.67459194589,136.305600607336,452.914179233238,57.8004762069084,394.251009351599,60064.41015625,24.250038146972656,0.15742382407188416,0.1634185016155243,0.02550806850194931,42474.473064498445,24578.87367249425,0.20056167244911194,0.16617341339588165,0.1481817066669464,0.21114596724510193,0.032832372933626175,0.0061742039397358894,0.17799952626228333,0.789156973361969,0.015894711017608643,0.005142482463270426,3.283975839614868,618.745361328125,0.3971036374568939,0.19641268253326416,0.30619382858276367,0.31467241048812866,0.542258620262146,80.26848602294922,0.09877366572618484,0.26386499404907227,200.31219482421875,189.6371307373047,-0.016005199402570724,72.8923568725586,4.9,4.9,22.3,8.8733099649,63.3909,95.759,53.48701,11040.74,3.918566,20.38312,15.957745454,520.7,9.429972,12.6,81.010016694,2396,47.237422771,680.33010503,201.9546,23.8,12.9,10.043823886,59.285497419,32,33.6,53.5585042,6.2,63.220001220703125,14.5600004196167,7.28000020980835,1.149999976158142,0.3799999952316284,0.3799999952316284,0,0,0,0,0.7699999809265137,12.260000228881836,70.80999755859375,11.3100004196167,6.159999847412109,2.680000066757202,0.23999999463558197,0.7200000286102295,0,0,0,0,1.1200000047683716,6.949999809265137,0,0,0,1.2100000381469727,0,0,0,18.790000915527344,0.6100000143051147,3.0299999713897705,0.6100000143051147,2.4200000762939453,0,0,0,0
1017,Chambers County,34145,17004,0.3405749201774597,0,1,136.60244750976563,153.13279724121094,138.80224609375,134.8987274169922,126.96820831298828,122.14796447753906,135.32736206054688,112.82365417480469,101.247314453125,8.800000190734863,6.900000095367432,4090.85573424111,2.93461673905388,70.4308017372931,64.5615682591854,360.957858903627,3591.97088860195,880.385021716164,2479.75114450053,231.834722385256,592.792581288884,111.515436084047,478.342528465782,54240.40234375,23.37160873413086,0.09511443972587585,0.10888610780239105,0.008853656239807606,35054.86006137659,21354.597951834385,0.2037794589996338,0.16964420676231384,0.18514353036880493,0.3917287588119507,0.01566564291715622,0.004635761491954327,0.3744527995586395,0.6112875938415527,0.007686087861657143,0.0015865947352722287,2.144036293029785,652.08013916015625,0.4097193479537964,0.2769189178943634,0.365355908870697,0.2780221104621887,0.5481763482093811,80.74516296386719,-0.03883514925837517,0.4185883402824402,57.35652160644531,61.32612991333008,-0.010350546799600124,23.566211700439453,5.1,4.9,25.8,12.128712871,38.05398,131.89622726219727,26.41155,8961.23,3.784419,21.364713,16.763420053,568.3,17.214428809734514,15.3,83.50877193,855,60.703285421,901.24471583,363.77494,20.8,12,8.821524906,61.1632325,39.8,34.8,65.6877245,5.7,62.40999984741211,19.549999237060547,12.029999732971191,0.75,0,0.75,0,0,0,0,0.75,3.759999990463257,57.709999084472656,17.059999465942383,19.639999389648438,0.8899999856948853,0,0.6700000166893005,0,0,0,0,1.559999942779541,2.4700000286102295,0,0,0,0,0,0,0,32.529998779296875,0,3.609999895095825,0,4.820000171661377,0,0,0,0
1021,Chilton County,43744,19278,0.38805654644966125,0,1,61.5384635925293,70.61742401123047,71.7400894165039,80.58194732666016,68.458892822265625,69.11942291259766,66.16987609863281,66.50993347167969,62.51154708862305,9.800000190734863,7.800000190734863,3350.70906649063,2.27629692017027,56.9074230042567,18.2103753613621,250.392661218729,3020.64601306594,712.480936013294,2130.61391727937,175.274862853111,188.932644374132,18.2103753613621,170.72226901277,58160.1796875,34.786502838134766,0.099208764731884,0.12215477228164673,0.03948554769158363,42600.33086634741,21828.383016749536,0.18464307487010956,0.15689460933208466,0.1689489334821701,0.09958069026470184,0.0783630833029747,0.0023888209834694862,0.10240564495325089,0.8592151403427124,0.029297225177288055,0.001549157197587192,3.1304917335510254,594.588623046875,0.3052634596824646,0.1457008272409439,0.2250823974609375,0.23589728772640228,0.5710444450378418,80.54100799560547,0.10126026719808578,0.18898792564868927,62.99018096923828,57.14479446411133,-0.003689971985295415,26.10939598083496,4.6,4.6,20.8,9.3395761459,18.20209,45.52594,25.03927,10570.85,6.236912,24.344527,19.175680414,534.1,12.148731,11.8,87.731481481,432,58.206499383,337.75302951,94.24809,21.2,14,1.6886043046,32.328208418,37.1,32,56.3747879,7.8,78.76000213623047,7.960000038146973,2.6500000953674316,0.8799999952316284,0,0.8799999952316284,0,0,0,0,0.8799999952316284,7.960000038146973,83.5199966430664,6.340000152587891,2.0199999809265137,0.6700000166893005,0,0,0,0,0,0,1.5700000524520874,5.869999885559082,0,0,0,1.1200000047683716,0,2.25,0,28.09000015258789,0,1.1200000047683716,0,2.25,0,0,0,0
1023,Choctaw County,13687,7269,0.3969731032848358,0,1,32.34706497192383,57.531883239746094,45.22709655761719,37.87143325805664,30.02130699157715,40.796504974365234,34.05994415283203,40.20396041870117,37.71712112426758,8,6.699999809265137,758.087517826315,0,15.0116340163627,22.517451024544,90.0698040981761,622.982811679051,262.703595286347,307.738497335435,52.5407190572694,255.197778278166,90.0698040981761,165.12797417999,53174.9921875,35.823272705078125,0.09470640122890472,0.10668433457612991,0.003491462441161275,33545.75965076845,17503.91817591457,0.1893615573644638,0.2437940239906311,0.29751265048980713,0.4350963234901428,0.005267335567623377,0.001324982033111155,0.4330493211746216,0.5557555556297302,0.006686713080853224,4.917097394354641e-4,1.9019497632980347,496.59228515625,0.3797644078731537,0.24561461806297302,0.3365143835544586,0.2525899410247803,0.44178950786590576,72.8701171875,0.41315630078315735,0.44440436363220215,15.171319007873535,17.42966651916504,-0.01720830611884594,4.6743292808532715,4.9,4.8,25.4,10.202020202,37.24117,131.89622726219727,45.0349,12249.15,5.333333,19.732654,15.909732017,522.1,17.214428809734514,15.7,87.777777778,450,40.655531043,432.77341744,233.10023,19,11.2,11.628068422,20.109676023,38.7,33.8,74.3172574,5.8,72.220001220703125,8.890000343322754,13.329999923706055,1.1100000143051147,0,1.1100000143051147,0,0,0,0,0,3.3299999237060547,76.839996337890625,5.769999980926514,13.3100004196167,0.8600000143051147,0,0.5199999809265137,0,0,0,0,0,2.700000047683716,0,0,0,1.5399999618530273,0,0,0,33.849998474121094,0,4.619999885559082,0,0,0,0,0,0
1031,Coffee County,50468,22330,0.38671088218688965,0,1,62.02464294433594,87.99028778076172,73.85083770751953,64.26526641845703,64.27210998535156,67.22822570800781,73.757659912109375,77.233306884765625,79.976776123046875,7.900000095367432,7.199999809265137,2861.96939637392,0,47.1429413266809,39.2857844389008,204.286079082284,2571.25459152606,610.893948024907,1799.28892730166,161.071716199493,538.215246812941,49.107230548626,491.07230548626,66815.4296875,22.108135223388672,0.20753030478954315,0.22555889189243317,0.046599745750427246,48731.142267958676,25665.200957725494,0.17204374074935913,0.141264408826828,0.14329087734222412,0.17299991846084595,0.0636662170290947,0.011852509342133999,0.17889201641082764,0.7611619830131531,0.028555862605571747,0.00989912636578083,3.3043158054351807,635.0389404296875,0.3532998561859131,0.18036805093288422,0.27358371019363403,0.34233880043029785,0.5262439846992493,77.1925048828125,0.04971485212445259,0.27656763792037964,73.563934326171875,64.23662567138672,-1.801278704078868e-4,28.138044357299805,4.8,4.6,20.8,8.6409216983,47.1161,66.78583,33.39292,9512.65,5.48503,21.273677,16.767424902,381.8,7.838066,12.3,88.1,1000,41.067405995,597.04987122,164.35011,19.3,13.4,7.4254116576,70.79362537,30.2,29.4,42.2923193,6.9,70.87000274658203,10.680000305175781,4.849999904632568,0.9700000286102295,0,0,0,0,0,0,2.9100000858306885,9.710000038146973,69.54000091552734,11.470000267028809,2.9600000381469727,4.960000038146973,0,0,0,0,0,0,4.010000228881836,7.059999942779541,0,0,0,0,0,0,0,17.809999465942383,0,5.480000019073486,0,0,0,0,0,0
1039,Covington County,37847,18829,0.4055415987968445,0,1,54.81987762451172,70.36997985839844,65.64319610595703,62.73744201660156,57.26057434082031,65.07064056396484,63.36826705932617,62.025230407714844,72.69023895263672,8.699999809265137,6.900000095367432,2302.5795220762802,0,47.4758664345624,21.1003850820277,176.715725061982,2057.28754549771,482.671308751385,1453.28902252466,118.689666086406,509.046790103919,145.065147438941,363.981642664979,52833.5703125,23.3339786529541,0.12104040384292603,0.13228455185890198,0.012936895713210106,38438.14214219515,18696.70708386656,0.1859474629163742,0.18467161059379578,0.21493013203144073,0.12996160984039307,0.012789620086550713,0.0039056988898664713,0.12117663770914078,0.85943204164505,0.00780074018985033,0.0018018700648099184,3.3432652950286865,561.9605712890625,0.3466091454029083,0.18856926262378693,0.2703424096107483,0.4580795168876648,0.5139885544776917,77.76097106933594,0.030281420797109604,0.1592479944229126,36.64882278442383,36.51878356933594,-0.008994068950414658,14.33151912689209,4.8,4.8,21.4,9.6043395022,47.51095,52.75096,34.28813,10505.33,4.869867,21.504839,16.926790556,470.8,17.214428809734514,12.9,81.601731602,924,65.565627716,400.47424582,147.49263,19.9,13.1,3.0467534329,51.150536211,31.6,35.5,50.3368624,7.2,73.33000183105469,9.520000457763672,4.760000228881836,0.949999988079071,0,0.949999988079071,0,0,0,0,1.899999976158142,8.569999694824219,72.80000305175781,10.90999984741211,2.5899999141693115,2.0299999713897705,0,0,0,0,0,0,3.549999952316284,8.119999885559082,0,0,0,1.2999999523162842,0,0,0,20.780000686645508,0,1.2999999523162842,0,2.5999999046325684,0,0,0,0
